run_id,floor,potion_position,potion_id,potion_name,floor_type,encounter
1781853392,2,1,POTION.EXPLOSIVE_AMPOULE,Explosive Ampoule,monster,ENCOUNTER.SHRINKER_BEETLE_WEAK
1781853392,5,1,POTION.ATTACK_POTION,Attack Potion,monster,ENCOUNTER.NIBBITS_WEAK
1781853392,12,1,POTION.STRENGTH_POTION,Strength Potion,monster,ENCOUNTER.CUBEX_CONSTRUCT_NORMAL
1781853392,15,1,POTION.SKILL_POTION,Skill Potion,shop,
1781853392,19,1,POTION.EXPLOSIVE_AMPOULE,Explosive Ampoule,monster,ENCOUNTER.EXOSKELETONS_WEAK
1781853392,20,1,POTION.SWIFT_POTION,Swift Potion,monster,ENCOUNTER.BOWLBUGS_WEAK
1781853392,22,1,POTION.TOUCH_OF_INSANITY,Touch Of Insanity,monster,ENCOUNTER.HUNTER_KILLER_NORMAL
1781853392,24,1,POTION.DEXTERITY_POTION,Dexterity Potion,monster,ENCOUNTER.LOUSE_PROGENITOR_NORMAL
1781853392,28,1,POTION.SKILL_POTION,Skill Potion,elite,ENCOUNTER.ENTOMANCER_ELITE
1781853392,31,1,POTION.DEXTERITY_POTION,Dexterity Potion,elite,ENCOUNTER.DECIMILLIPEDE_ELITE
1781853392,39,1,POTION.CURE_ALL,Cure All,unknown,ENCOUNTER.AXEBOTS_NORMAL
1781853392,40,1,POTION.STAR_POTION,Star Potion,shop,
1781853392,43,1,POTION.ENERGY_POTION,Energy Potion,elite,ENCOUNTER.KNIGHTS_ELITE
1781853392,44,1,POTION.STABLE_SERUM,Stable Serum,unknown,EVENT.POTION_COURIER
1781829488,2,1,POTION.STRENGTH_POTION,Strength Potion,monster,ENCOUNTER.SHRINKER_BEETLE_WEAK
1781829488,3,1,POTION.FLEX_POTION,Flex Potion,monster,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK
1781829488,5,1,POTION.COLORLESS_POTION,Colorless Potion,monster,ENCOUNTER.NIBBITS_WEAK
1781829488,9,1,POTION.COLORLESS_POTION,Colorless Potion,monster,ENCOUNTER.INKLETS_NORMAL
1781829488,19,1,POTION.ENERGY_POTION,Energy Potion,monster,ENCOUNTER.TUNNELER_WEAK
1781829488,20,1,POTION.GAMBLERS_BREW,Gamblers Brew,monster,ENCOUNTER.BOWLBUGS_WEAK
1781789392,6,1,POTION.DISTILLED_CHAOS,Distilled Chaos,monster,ENCOUNTER.SEAPUNK_NORMAL
1781789392,10,1,POTION.VULNERABLE_POTION,Vulnerable Potion,elite,ENCOUNTER.SKULKING_COLONY_ELITE
1781789392,12,1,POTION.VULNERABLE_POTION,Vulnerable Potion,monster,ENCOUNTER.PUNCH_CONSTRUCT_NORMAL
1781789392,16,1,POTION.COLORLESS_POTION,Colorless Potion,boss,ENCOUNTER.WATERFALL_GIANT_BOSS
1781789392,18,1,POTION.ATTACK_POTION,Attack Potion,monster,ENCOUNTER.EXOSKELETONS_WEAK
1781789392,21,1,POTION.FORTIFIER,Fortifier,unknown,EVENT.POTION_COURIER
1781788845,3,1,POTION.BLOCK_POTION,Block Potion,monster,ENCOUNTER.NIBBITS_WEAK
1781788845,8,1,POTION.EXPLOSIVE_AMPOULE,Explosive Ampoule,elite,ENCOUNTER.PHROG_PARASITE_ELITE
1781788845,11,1,POTION.HEART_OF_IRON,Heart Of Iron,unknown,EVENT.DENSE_VEGETATION
1781788845,14,1,POTION.SWIFT_POTION,Swift Potion,monster,ENCOUNTER.FOGMOG_NORMAL
