run_id,character,win,ascension,seed,acts_path,act_count,killed_by,run_time_seconds,run_time_minutes,deck_size,unique_deck_cards,relic_count,floor_count,final_floor,final_floor_type,final_encounter,final_current_hp,final_max_hp,final_gold,total_turns,total_damage_taken,total_hp_healed,total_cards_offered,total_cards_picked,total_potions_used,total_potions_gained,total_monsters,build_id,timestamp,total_players
1781853392,Regent,False,5,5GZBJMB2RT,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.QUEEN_BOSS,3633,60.55,36,26,15,48,48.0,boss,ENCOUNTER.QUEEN_BOSS,0.0,75.0,143.0,125,287,287,90,23,12,14,40,v0.107.1,1781853392,1
1781829488,Regent,False,5,9K88MXBK65,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.SLUMBERING_BEETLE_NORMAL,1855,30.92,24,17,9,29,29.0,unknown,ENCOUNTER.SLUMBERING_BEETLE_NORMAL,0.0,82.0,226.0,84,238,238,50,13,4,6,25,v0.107.1,1781829488,1
1781789392,Regent,False,4,9L7SNVW8S0,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.ENTOMANCER_ELITE,4387,73.12,28,28,9,29,29.0,elite,ENCOUNTER.ENTOMANCER_ELITE,0.0,75.0,141.0,70,209,209,44,11,5,6,32,v0.107.0,1781789392,2
1781788845,Regent,True,4,E4UZBKMMMD,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,3873,64.55,35,27,15,48,48.0,boss,ENCOUNTER.QUEEN_BOSS,3.0,75.0,143.0,112,289,292,99,19,8,10,38,v0.107.0,1781788845,1
1781782862,Regent,True,3,PZ1Z8W3DBB,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,3523,58.72,40,29,16,48,48.0,boss,ENCOUNTER.AEONGLASS_BOSS,11.0,87.0,38.0,102,253,264,107,24,11,14,50,v0.107.0,1781782862,1
1781734701,Regent,True,0,QX3JLKGW2B,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,5906,98.43,27,22,18,45,45.0,boss,ENCOUNTER.TEST_SUBJECT_BOSS,7.0,88.0,57.0,112,270,277,93,18,10,11,42,v0.107.0,1781734701,2
1781655681,Regent,False,3,WQW2FYDRPQ,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.KAISER_CRAB_BOSS,2200,36.67,24,20,11,33,33.0,boss,ENCOUNTER.KAISER_CRAB_BOSS,0.0,50.0,112.0,65,150,150,49,12,6,8,22,v0.107.0,1781655681,1
1781655473,Regent,False,3,84681BLLQP,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,1,0.02,10,4,1,0,,,,,,,0,0,0,0,0,0,0,0,v0.103.3,1781655473,1
1781655220,Regent,False,3,97WR4KR435,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,7,0.12,10,4,3,1,1.0,ancient,EVENT.NEOW,0.0,0.0,0.0,0,0,60,0,0,0,0,0,v0.103.3,1781655220,1
1781655112,Regent,False,3,LYCF2J6CFX,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,40,0.67,10,5,2,1,1.0,ancient,EVENT.NEOW,60.0,75.0,99.0,0,0,60,0,0,0,0,0,v0.103.3,1781655112,1
1781655040,Regent,False,3,7PFLH4EBA6,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,1,0.02,10,4,1,0,,,,,,,0,0,0,0,0,0,0,0,v0.103.3,1781655040,1
1781649462,Necrobinder,True,2,8QNC1TYPBG,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,5505,91.75,37,22,19,45,45.0,boss,ENCOUNTER.TEST_SUBJECT_BOSS,28.0,41.0,61.0,91,112,140,76,15,14,14,29,v0.103.3,1781649462,4
1781649400,Necrobinder,False,2,V7SDY0ER4T,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,3,0.05,10,4,1,0,,,,,,,0,0,0,0,0,0,0,0,v0.103.3,1781649400,4
1781639902,Silent,False,4,4S7WMF1RLV,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.QUEEN_BOSS,3554,59.23,37,25,13,48,48.0,boss,ENCOUNTER.QUEEN_BOSS,0.0,51.0,185.0,116,222,222,71,17,9,9,36,v0.103.3,1781639902,1
1781639066,Silent,False,4,WRZH4SKB81,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.SLITHERING_STRANGLER_NORMAL,819,13.65,18,10,3,9,9.0,unknown,ENCOUNTER.SLITHERING_STRANGLER_NORMAL,0.0,70.0,328.0,41,56,56,18,6,2,2,13,v0.103.3,1781639066,1
1781569168,Regent,False,3,QSGXVMNMEY,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,NONE.NONE,10,0.17,10,4,2,1,1.0,ancient,EVENT.NEOW,0.0,0.0,0.0,0,0,60,0,0,0,0,0,v0.103.3,1781569168,1
1781556560,Silent,False,4,9Q35KTH9YD,ACT.UNDERDOCKS|ACT.HIVE|ACT.GLORY,3,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,2745,45.75,37,25,12,33,33.0,boss,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,0.0,0.0,0.0,76,209,222,65,18,6,8,31,v0.103.3,1781556560,1
1781550252,Silent,False,4,7MCB6EQ5B0,ACT.OVERGROWTH|ACT.HIVE|ACT.GLORY,3,NONE.NONE,7,0.12,12,4,2,1,1.0,ancient,EVENT.NEOW,0.0,0.0,0.0,0,0,56,0,0,0,0,0,v0.103.3,1781550252,1
